tag,anchor,PRF,channel,data rate,preamble,TXpower,PRR,Average distance error anchor,Stde distance error anchor,energy consumption,packet duration,Average RSP tag,Stde RSP tag,Average RSP anchor,Stde RSP anchor,Average LOS indication tag,Stde LOS indication tag,Average LOS indication anchor,Stde LOS indication anchor,Mean noise CIR tag,Mean noise CIR anchor,startindex,stopindex
1,2,64,7,6800,4096,0.0,,,,,,,,,,,,,,,,,
1,2,64,7,6800,4096,18.0,,,,,,,,,,,,,,,,,
1,3,16,3,110,128,0.0,,,,,,,,,,,,,,,,,
1,3,16,3,110,128,10.5,1.0,130.36306853204258,27.23392265975994,103.0,4.890045285862068,-100.60258928571429,1.3665172183750889,-99.5654642857143,1.2809442318903241,-2.9901488095238116,1.3520628358938567,-2.70897380952381,0.9995463490239098,9.912698412698413,9.571428571428571,3183.0,3686.0
1,3,16,3,110,1024,0.0,,,,,,,,,,,,,,,,,
1,3,16,3,110,1024,10.5,1.0,115.99600503997907,17.03673916098814,103.0,5.7803019258620685,-86.42798611111111,0.5605320443729708,-85.57673095238096,0.54206036836661,1.92210515873016,0.8973033040928574,2.198550000000001,0.7969135568331362,30.928571428571427,30.533333333333335,3687.0,4190.0
1,3,16,3,110,4096,0.0,,,,,,,,,,,,,,,,,
1,3,16,3,110,4096,10.5,1.0,111.11902091299494,16.02329948593942,103.0,8.832610405862068,-85.5694484126984,0.3571074890909897,-84.68870476190476,0.6763541378496472,2.031884920634921,0.8236942330220064,2.1887404761904765,0.7117809334089048,36.45238095238095,34.43809523809524,4191.0,4694.0
1,3,16,3,6800,128,0.0,,,,,,,,,,,,,,,,,
1,3,16,3,6800,128,10.5,0.9838709677419355,128.15879945882187,24.472329534354877,118.0,0.22740323172413793,-89.02854435483871,0.8216310374280196,-88.14382494004798,0.8705169720386102,-0.9128588709677418,0.8739282545974694,-0.5393812949640284,0.8920848802617327,7.120967741935484,7.213429256594724,4695.0,5190.0
1,3,16,3,6800,1024,0.0,,,,,,,,,,,,,,,,,
1,3,16,3,6800,1024,10.5,1.0,113.37616061446866,21.381512601561784,118.0,1.117659871724138,-85.61108548707755,0.5221856787730288,-84.79787142857143,0.7829084400073285,2.057763419483101,0.7010184151790567,2.216733333333334,0.7875967162389582,29.860834990059644,29.923809523809524,5191.0,5693.0
1,3,16,3,6800,4096,0.0,,,,,,,,,,,,,,,,,
1,3,16,3,6800,4096,10.5,1.0,106.13162781128774,18.314375623069004,118.0,4.169968351724138,-85.60031013916502,0.4005806831360862,-84.66781861575178,0.6576442338475361,1.9881809145129221,0.8709376164494054,2.209100238663485,0.768609656018777,36.74751491053678,34.59665871121718,5694.0,6196.0
1,3,16,5,110,128,0.0,,,,,,,,,,,,,,,,,
1,3,16,5,110,128,18.0,,,,,,,,,,,,,,,,,
1,3,16,5,110,1024,0.0,,,,,,,,,,,,,,,,,
1,3,16,5,110,1024,18.0,,,,,,,,,,,,,,,,,
1,3,16,5,110,4096,0.0,,,,,,,,,,,,,,,,,
1,3,16,5,110,4096,18.0,,,,,,,,,,,,,,,,,
1,3,16,5,6800,128,0.0,,,,,,,,,,,,,,,,,
1,3,16,5,6800,128,18.0,,,,,,,,,,,,,,,,,
1,3,16,5,6800,1024,0.0,,,,,,,,,,,,,,,,,
1,3,16,5,6800,1024,18.0,,,,,,,,,,,,,,,,,
1,3,16,5,6800,4096,0.0,,,,,,,,,,,,,,,,,
1,3,16,5,6800,4096,18.0,,,,,,,,,,,,,,,,,
1,3,16,7,110,128,0.0,,,,,,,,,,,,,,,,,
1,3,16,7,110,128,18.0,,,,,,,,,,,,,,,,,
1,3,16,7,110,1024,0.0,,,,,,,,,,,,,,,,,
1,3,16,7,110,1024,18.0,,,,,,,,,,,,,,,,,
1,3,16,7,110,4096,0.0,,,,,,,,,,,,,,,,,
1,3,16,7,110,4096,18.0,,,,,,,,,,,,,,,,,
1,3,16,7,6800,128,0.0,,,,,,,,,,,,,,,,,
1,3,16,7,6800,128,18.0,,,,,,,,,,,,,,,,,
1,3,16,7,6800,1024,0.0,,,,,,,,,,,,,,,,,
1,3,16,7,6800,1024,18.0,,,,,,,,,,,,,,,,,
1,3,16,7,6800,4096,0.0,,,,,,,,,,,,,,,,,
1,3,16,7,6800,4096,18.0,,,,,,,,,,,,,,,,,
1,3,64,3,110,128,0.0,1.0,183.85116377013782,37.71021355313411,123.0,4.8946609658620694,-103.28924206349205,1.324427119087293,-100.68907619047619,1.2323099170465688,-1.146378968253969,0.9859118622036781,-0.5063142857142855,0.9614143972461533,26.603174603174605,27.82857142857143,15158.0,15661.0
1,3,64,3,110,128,10.5,1.0,143.45433837331242,19.911148746216373,123.0,4.8946609658620694,-90.4473611111111,1.8001176382355228,-90.3421238095238,0.7960274661580811,1.3757777777777773,0.9293769382024963,1.4409857142857148,0.9692142868965098,23.746031746031747,22.476190476190474,6197.0,6700.0
1,3,64,3,110,1024,0.0,1.0,160.44838599236004,25.26099647945112,123.0,5.806457445862068,-90.92684126984126,0.8385415807859099,-89.3657857142857,0.7947018604802697,2.2663611111111113,0.9107692030957726,2.321240476190477,0.8119884763397841,70.85714285714286,65.02857142857142,15662.0,16165.0
1,3,64,3,110,1024,10.5,1.0,129.60314789712194,17.17149117537999,123.0,5.806457445862068,-81.58158333333334,0.4961683452609269,-81.23214047619047,0.7457354248624377,2.05703373015873,0.7086475883163758,2.0764666666666667,0.7400971595465116,42.06349206349206,40.923809523809524,6701.0,7204.0
1,3,64,3,110,4096,0.0,1.0,153.3948145637886,21.818749722912855,123.0,8.932616805862068,-90.68446626984128,0.7215272837020207,-89.35960238095237,0.7188860259953627,2.247654761904762,0.8859957141118656,2.334342857142857,0.8396230666802821,71.0,64.71428571428571,16166.0,16669.0
1,3,64,3,110,4096,10.5,0.9980119284294234,125.50140912341496,17.203410927725265,123.0,8.932616805862068,-81.58635188866799,0.5894867757602598,-81.33675417661098,0.944736073217666,2.103890656063618,0.7776971816502743,2.177773269689737,0.9556289387445731,42.87077534791253,41.82338902147971,7205.0,7707.0
1,3,64,3,6800,128,0.0,0.9234042553191489,172.0897168836909,28.77835453060499,135.0,0.23067267172413794,-93.40213888888889,0.8081911650440715,-91.6199850374065,1.0895636235555775,0.028715811965811102,0.8025527222276506,0.7222917705735672,0.9137482652005998,19.435897435897434,21.286783042394013,16670.0,17137.0
1,3,64,3,6800,128,10.5,1.0,133.6368780558521,21.85206897574283,135.0,0.23067267172413794,-82.42221825396824,0.6628391280889906,-81.91356666666668,0.8781455796332609,1.706261904761905,0.8701506844079873,1.9272690476190482,0.7989537140697337,18.333333333333332,17.295238095238094,7708.0,8211.0
1,3,64,3,6800,1024,0.0,0.99800796812749,154.34348812351794,26.021767744745144,135.0,1.1424691517241379,-90.78897211155378,0.7408570394572066,-89.34376849642004,0.7164913889173479,2.1962430278884466,0.8518200478465909,2.2647684964200483,0.8273833148107105,69.88844621513944,64.50596658711217,17138.0,17639.0
